category,title,url,embedding,subtitle
Age Structure,Median age vs. births per woman,https://ourworldindata.org/grapher/median-age-vs-births-per-woman,"<iframe src=""https://ourworldindata.org/grapher/median-age-vs-births-per-woman?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The median age divides the population in two parts of equal size: that is, there are as many persons with ages above the median as there are with ages below the median."
Age Structure,Natural population growth rate vs. median age,https://ourworldindata.org/grapher/population-growth-rate-vs-median-age,"<iframe src=""https://ourworldindata.org/grapher/population-growth-rate-vs-median-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The median age is the age that divides the population into two parts of equal size, that is, there are as many people with ages above the median as there are with ages below the median. In this metric of population growth, changes due to migration are excluded and only births and deaths are considered."
Age Structure,Number of children under 5 years old,https://ourworldindata.org/grapher/under-5-population,"<iframe src=""https://ourworldindata.org/grapher/under-5-population?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The total population under 5 years old, given as historic estimates and projections to 2100 based on the UN's median fertility scenario."
Age Structure,Number of deaths by age group,https://ourworldindata.org/grapher/deaths-by-age-group-stacked,"<iframe src=""https://ourworldindata.org/grapher/deaths-by-age-group-stacked?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Total number of deaths (from all causes) in a given year; this is differentiated by broad age group.
Age Structure,Old-age dependency ratio,https://ourworldindata.org/grapher/age-dependency-ratio-old,"<iframe src=""https://ourworldindata.org/grapher/age-dependency-ratio-old?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",The number of elderly people (over 64 years old) relative to the number of working-age people (15-64 years). Figures are shown as the number of dependents per 100 working-age people. A value of 20% means that there are 20 people of old age for every 100 working-age people.
Age Structure,"Percentage of Americans living alone, by age",https://ourworldindata.org/grapher/percentage-of-americans-living-alone-by-age,"<iframe src=""https://ourworldindata.org/grapher/percentage-of-americans-living-alone-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The share of Americans living alone, by age. An individual is defined as living alone where there is one person in the household and does not live in group quarters. See the source tab for more details."
Age Structure,Percentage of adults living alone,https://ourworldindata.org/grapher/adults-living-alone,"<iframe src=""https://ourworldindata.org/grapher/adults-living-alone?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data for the US corresponds to population ages 18 and older. Data for Canada corresponds to ages 15 and older.
Age Structure,"Percentage of females living alone in the United States, by age",https://ourworldindata.org/grapher/percentage-of-females-living-alone-in-the-united-states-by-age,"<iframe src=""https://ourworldindata.org/grapher/percentage-of-females-living-alone-in-the-united-states-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The share of female Americans living alone, by age. An individual is defined as living alone where there is one person in the household and does not live in group quarters. See the source tab for more details."
Age Structure,"Percentage of males living alone in the United States, by age",https://ourworldindata.org/grapher/percentage-of-males-living-alone-in-the-united-states-by-age,"<iframe src=""https://ourworldindata.org/grapher/percentage-of-males-living-alone-in-the-united-states-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The share of male Americans living alone, by age. An individual is defined as living alone where there is one person in the household and does not live in group quarters. See the source tab for more details."
Age Structure,Percentage of one-person households,https://ourworldindata.org/grapher/one-person-households,"<iframe src=""https://ourworldindata.org/grapher/one-person-households?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Number of one-person households as a share of the total number of households. Estimates combine multiple sources, including cross-country surveys and census data."
Age Structure,Population by age group,https://ourworldindata.org/grapher/population-by-age-group-with-projections,"<iframe src=""https://ourworldindata.org/grapher/population-by-age-group-with-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Historic estimates from 1950 to 2021, and projected to 2100 based on the UN medium-fertility scenario."
Age Structure,Population by age group,https://ourworldindata.org/grapher/population-by-age-group,"<iframe src=""https://ourworldindata.org/grapher/population-by-age-group?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Data source: United Nations, World Population Prospects (2022)"
Age Structure,Population by age group,https://ourworldindata.org/grapher/population-by-five-year-age-group,"<iframe src=""https://ourworldindata.org/grapher/population-by-five-year-age-group?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source:
Age Structure,"Population by young, working age and older groups",https://ourworldindata.org/grapher/population-young-working-old,"<iframe src=""https://ourworldindata.org/grapher/population-young-working-old?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Data source: United Nations, World Population Prospects (2022)"
Age Structure,"Population of young, working-age and elderly",https://ourworldindata.org/grapher/population-young-working-elderly,"<iframe src=""https://ourworldindata.org/grapher/population-young-working-elderly?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Data source: United Nations, World Population Prospects (2022)"
Age Structure,"Population of young, working-age and elderly",https://ourworldindata.org/grapher/population-young-working-elderly-with-projections,"<iframe src=""https://ourworldindata.org/grapher/population-young-working-elderly-with-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Historic estimates from 1950 to 2021, and projected to 2100 based on the UN medium-fertility scenario."
Age Structure,"Probability of dying, by age",https://ourworldindata.org/grapher/probability-of-dying-by-age,"<iframe src=""https://ourworldindata.org/grapher/probability-of-dying-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The annual probability of death among people in a given age group, expressed as a fraction."
Age Structure,Projected change in dependency ratio depending on labor force participation,https://ourworldindata.org/grapher/projected-change-dependency-ratios,"<iframe src=""https://ourworldindata.org/grapher/projected-change-dependency-ratios?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",– Age dependency is the ratio between people defined as dependents (under-15s and over-65s) and working-age people. – Labor force dependency does not take into account age brackets but instead uses the ratio between those not participating in the workforce to those that are. – High labor force participation assumes a higher share of people participating in the workforce (e.g. beyond the age of 65).
Age Structure,Self-reported loneliness among older adults,https://ourworldindata.org/grapher/self-reported-loneliness-older-adults,"<iframe src=""https://ourworldindata.org/grapher/self-reported-loneliness-older-adults?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Share of survey respondents who report feeling lonely at least some of the time. For all countries estimates correspond to population ages 65+, except in the following cases: US (ages 72+); UK (ages 65-74); and Finland (ages 75+)."
Age Structure,Share of men expected to survive to the age of 65,https://ourworldindata.org/grapher/men-survival-to-age-65,"<iframe src=""https://ourworldindata.org/grapher/men-survival-to-age-65?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","This measure shows the share newborns that would survive to the age of 65, if subject to age-specific death rates in a given year."
Age Structure,Share of women expected to survive to the age of 65,https://ourworldindata.org/grapher/women-survival-to-age-65,"<iframe src=""https://ourworldindata.org/grapher/women-survival-to-age-65?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","This measure shows the share newborns that would survive to the age of 65, if subject to age-specific death rates in a given year."
Age Structure,"Weekly home production time by age group, United States",https://ourworldindata.org/grapher/weekly-home-production-time-by-demographic-group-united-states,"<iframe src=""https://ourworldindata.org/grapher/weekly-home-production-time-by-demographic-group-united-states?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Time spent in home production activities by age group. Home production includes purchasing goods and services, care of children and adults, general cleaning, care and repair of the house and grounds, preparing and clearing food, and making, mending, and laundering clothing."
Age Structure,"Who Americans spend their time with, by age",https://ourworldindata.org/grapher/time-spent-with-relationships-by-age-us,"<iframe src=""https://ourworldindata.org/grapher/time-spent-with-relationships-by-age-us?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Measured in minutes per day, based on averages from surveys in the United States between 2009 and 2019."
Age Structure,Youth dependency ratio,https://ourworldindata.org/grapher/age-dependency-ratio-young-of-working-age-population,"<iframe src=""https://ourworldindata.org/grapher/age-dependency-ratio-young-of-working-age-population?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",The ratio of younger dependents – people younger than 15 – to the working-age population – those ages 15-64. Data are shown as the number of dependents per 100 working-age people.
Agricultural Production,Agricultural export subsidies,https://ourworldindata.org/grapher/agricultural-export-subsidies,"<iframe src=""https://ourworldindata.org/grapher/agricultural-export-subsidies?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Agricultural export subsidies are measured in current US dollars.
Agricultural Production,Agricultural general services support,https://ourworldindata.org/grapher/agricultural-general-services-support,"<iframe src=""https://ourworldindata.org/grapher/agricultural-general-services-support?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The annual monetary value of gross transfers to general services provided to agricultural producers collectively (such as research, development, training, inspection, marketing and promotion), arising from policy measures that support agriculture regardless of their nature, objectives and impacts on farm production, income, or consumption. This does not include any transfers to individual producers."
Agricultural Production,Agricultural land per capita,https://ourworldindata.org/grapher/agricultural-area-per-capita,"<iframe src=""https://ourworldindata.org/grapher/agricultural-area-per-capita?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Agricultural land is the sum of cropland and land used as pasture for grazing livestock.
Agricultural Production,Agricultural land use per person,https://ourworldindata.org/grapher/total-agricultural-land-use-per-person,"<iframe src=""https://ourworldindata.org/grapher/total-agricultural-land-use-per-person?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",This dataset is showing estimates of the total agricultural land area – which is the combination of cropland and grazing land – per person. It is measured in hectares per person.
Agricultural Production,Agricultural output,https://ourworldindata.org/grapher/agricultural-output-dollars,"<iframe src=""https://ourworldindata.org/grapher/agricultural-output-dollars?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Total agricultural output is the sum of crop and livestock products. It is measured in constant 2015 US$, which means it adjusts for inflation."
Agricultural Production,Agricultural producer support,https://ourworldindata.org/grapher/agricultural-producer-support,"<iframe src=""https://ourworldindata.org/grapher/agricultural-producer-support?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The annual monetary value of gross transfers from consumers and taxpayers to agricultural producers, measured at the farm-gate level, arising from policy measures that support agriculture, regardless of their nature, objectives or impacts on farm production or income."
Agricultural Production,Agriculture orientation index for government expenditures,https://ourworldindata.org/grapher/agriculture-orientation-index,"<iframe src=""https://ourworldindata.org/grapher/agriculture-orientation-index?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",A value greater than 1 means the agriculture sector receives a higher share of government spending relative to its economic value. A value less than 1 reflects a lower orientation to agriculture.
Agricultural Production,Apple production,https://ourworldindata.org/grapher/apple-production,"<iframe src=""https://ourworldindata.org/grapher/apple-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Apple production is measured in tonnes.
Agricultural Production,Arable land use per person,https://ourworldindata.org/grapher/arable-land-use-per-person,"<iframe src=""https://ourworldindata.org/grapher/arable-land-use-per-person?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Arable land is defined by the FAO as land under temporary crops, temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. It is measured in hectares per person."
Agricultural Production,Average farm size,https://ourworldindata.org/grapher/average-farm-size,"<iframe src=""https://ourworldindata.org/grapher/average-farm-size?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Data source: Lowder et al. (2016). The number, size, and distribution of farms, smallholder farms, and family farms worldwide. World Development."
Agricultural Production,Avocado production,https://ourworldindata.org/grapher/avocado-production,"<iframe src=""https://ourworldindata.org/grapher/avocado-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Avocado production is measured in tonnes.
Agricultural Production,Banana production,https://ourworldindata.org/grapher/banana-production,"<iframe src=""https://ourworldindata.org/grapher/banana-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source: Food and Agriculture Organization of the United Nations (2023)
Agricultural Production,Banana production by region,https://ourworldindata.org/grapher/banana-production-by-region,"<iframe src=""https://ourworldindata.org/grapher/banana-production-by-region?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source: Food and Agriculture Organization of the United Nations (2023)
Agricultural Production,Barley production,https://ourworldindata.org/grapher/barley-production,"<iframe src=""https://ourworldindata.org/grapher/barley-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Barley production is measured in tonnes.
Agricultural Production,Bean production,https://ourworldindata.org/grapher/bean-production,"<iframe src=""https://ourworldindata.org/grapher/bean-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Bean (dry) production is measured in tonnes.
Agricultural Production,Breakdown of habitable land area,https://ourworldindata.org/grapher/breakdown-habitable-land,"<iframe src=""https://ourworldindata.org/grapher/breakdown-habitable-land?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Habitable land is defined as ice- and barren-free land. Agricultural land is the sum of croplands and pasture for grazing.
Agricultural Production,Cashew nut production,https://ourworldindata.org/grapher/cashew-nut-production,"<iframe src=""https://ourworldindata.org/grapher/cashew-nut-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Cashew nut production is measured in tonnes.
Agricultural Production,Cassava production,https://ourworldindata.org/grapher/cassava-production,"<iframe src=""https://ourworldindata.org/grapher/cassava-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Cassava production is measured in tonnes.
Agricultural Production,Cereal production,https://ourworldindata.org/grapher/cereal-production,"<iframe src=""https://ourworldindata.org/grapher/cereal-production?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Cereal production is measured in tonnes, and represents the total of all cereal crops including maize, wheat, rice, barley, rye, millet and others."
Agricultural Production,"Cereals allocated to food, animal feed and fuel",https://ourworldindata.org/grapher/cereal-distribution-to-uses,"<iframe src=""https://ourworldindata.org/grapher/cereal-distribution-to-uses?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Cereal crops allocated to direct human consumption, used for animal feed, and other uses – mainly industrial uses such as biofuel production. This is based on domestic supply quantity for countries after correction for imports, exports and stocks."
